recid,location,event,eventType,xcoord,ycoord,dt,_date,_time,lon,lat
1107,BEDFORD AVENUE & HAMPTON BOULEVARD,Irene (8/27/2011),Flooded street,12125240,3494528.25,15:55.0,8/27/2011,15:55.0,-76.303142,36.899737
1108,HAMPTON BOULEVARD & MANCHESTER AVENUE,Irene (8/27/2011),Flooded street,12125280,3494248.375,16:41.0,8/27/2011,16:41.0,-76.303028,36.898966
1109,HAMPTON BOULEVARD & HANOVER AVENUE,Irene (8/27/2011),Flooded street,12125331,3493976.5,17:37.0,8/27/2011,17:37.0,-76.302875,36.898216
1110,HAMPTON BOULEVARD & SURREY CRESCENT,Irene (8/27/2011),Flooded street,12125337,3493394.5,18:21.0,8/27/2011,18:21.0,-76.302901,36.896617
1112,1700 BLOCK OF FONTAINEBLEAU CRESCENT,Irene (8/27/2011),Flooded street,12136198.4,3487373.046,21:12.0,8/27/2011,21:12.0,-76.266256,36.879383
1113,HAMPTON BOULEVARD & BRUNSWICK AVENUE,Irene (8/27/2011),Flooded street,12125055.5,3491722.5,22:22.0,8/27/2011,22:22.0,-76.303996,36.892044
1114,HAMPTON BOULEVARD & WESTMORELAND AVENUE,Irene (8/27/2011),Flooded street,12125183,3492324,23:17.0,8/27/2011,23:17.0,-76.303513,36.893688
1115,HAMPTON BOULEVARD & ROCKBRIDGE AVENUE,Irene (8/27/2011),Flooded street,12125242.5,3492606.625,24:03.0,8/27/2011,24:03.0,-76.303287,36.89446
1117,HAMPTON BOULEVARD & MAGNOLIA AVENUE,Irene (8/27/2011),Flooded street,12125298.5,3492868.75,26:03.0,8/27/2011,26:03.0,-76.303074,36.895176
1118,HAMPTON BOULEVARD & BUCKINGHAM AVENUE,Irene (8/27/2011),Flooded street,12125119,3492023.125,26:40.0,8/27/2011,26:40.0,-76.303755,36.892866
1119,BOLLING AVENUE & HAMPTON BOULEVARD,Irene (8/27/2011),Flooded street,12125064.5,3491422.875,27:16.0,8/27/2011,27:16.0,-76.303989,36.891221
1125,5600 BLOCK OF TIDEWATER DRIVE,Irene (8/27/2011),Flooded street,12138323.97,3491544.915,08:44.0,8/27/2011,08:44.0,-76.258652,36.8907
1126,200 BLOCK OF KEMPSVILLE ROAD,Irene (8/27/2011),Flooded street,12158922.76,3474895.185,09:20.0,8/27/2011,09:20.0,-76.189629,36.843619
1129,CHURCH STREET & GOFF STREET,Irene (8/27/2011),Flooded street,12132948.5,3480008.625,12:59.0,8/27/2011,12:59.0,-76.277956,36.859372
1134,NORVIEW AVENUE & SEDGEFIELD DRIVE,Irene (8/27/2011),Flooded street,12139911,3491389,56:51.0,8/27/2011,56:51.0,-76.253239,36.890169
1149,800 BLOCK OF E BRAMBLETON AVENUE,Irene (8/27/2011),Flooded street,12132561.49,3477567.246,17:30.0,8/28/2011,17:30.0,-76.279475,36.852694
1150,1000 BLOCK OF E VIRGINIA BEACH BOULEVARD,Irene (8/27/2011),Flooded street,12134230.68,3478209.505,18:01.0,8/28/2011,18:01.0,-76.27372,36.854349
1151,1000 BLOCK OF E VIRGINIA BEACH BOULEVARD,Irene (8/27/2011),Flooded underpass,12134230.68,3478209.505,18:01.0,8/28/2011,18:01.0,-76.27372,36.854349
1168,LENS AVENUE & SHOOP AVENUE,Irene (8/27/2011),Flooded street,12138384,3484055.25,32:38.0,8/28/2011,32:38.0,-76.259054,36.870131
1236,1ST BAY STREET & E OCEAN VIEW AVENUE,Irene (8/27/2011),Flooded street,12150537,3508253,28:35.0,8/28/2011,28:35.0,-76.21552,36.935774
1248,E 21ST STREET & MONTICELLO AVENUE,Irene (8/27/2011),Flooded underpass,12131101.5,3482796.5,44:35.0,8/28/2011,44:35.0,-76.284044,36.867147
1253,E VIRGINIA BEACH BOULEVARD & TIDEWATER DRIVE,Irene (8/27/2011),Flooded underpass,12134008,3478239.25,47:38.0,8/28/2011,47:38.0,-76.274478,36.854445
1276,600 E OCEAN VIEW AVENUE,Irene (8/27/2011),Flooded street,12141509.82,3513045.647,05:49.0,8/28/2011,05:49.0,-76.246006,36.949529
1314,615 W LITTLE CREEK ROAD,Irene (8/27/2011),Flooded street,12129685,3500553,42:39.0,8/28/2011,42:39.0,-76.287462,36.915995
1318,COLLEY AVENUE & RALEIGH AVENUE,Irene (8/27/2011),Flooded street,12126549,3480869.75,48:25.0,8/28/2011,48:25.0,-76.299756,36.862149
1337,8081 HAMPTON BOULEVARD,Irene (8/27/2011),Flooded street,12120682,3504094.5,22:12.0,8/28/2011,22:12.0,-76.31797,36.926295
1349,9000 HAMPTON BOULEVARD,Irene (8/27/2011),Flooded street,12120616.86,3507487.061,30:20.0,8/28/2011,30:20.0,-76.317924,36.935614
1351,400 BEECHWOOD AVENUE,Irene (8/27/2011),Flooded street,12122972,3505420.5,31:06.0,8/28/2011,31:06.0,-76.310033,36.92979
1356,DEGRASSE AVENUE & LAFAYETTE BOULEVARD,Irene (8/27/2011),Flooded street,12135750,3486188.5,37:04.0,8/28/2011,37:04.0,-76.267884,36.87616
1363,5765 LESLIE AVENUE,Irene (8/27/2011),Flooded street,12151130,3491110,42:09.0,8/28/2011,42:09.0,-76.214911,36.888663
1463,1018 BERKLEY AVENUE EX,Irene (8/27/2011),Flooded street,12134521,3468550.5,28:03.0,8/28/2011,28:03.0,-76.273507,36.827808
1468,508 E INDIAN RIVER ROAD,Irene (8/27/2011),Flooded street,12135172,3471319.5,28:51.0,8/28/2011,28:51.0,-76.27106,36.835369
1492,9600 BLOCK OF 10TH VIEW STREET,Irene (8/27/2011),Flooded street,12131975.42,3518933.814,02:41.0,8/28/2011,02:41.0,-76.27815,36.966318
1493,9600 BLOCK OF SALEM STREET,Irene (8/27/2011),Flooded street,12132383.46,3518840.347,03:00.0,8/28/2011,03:00.0,-76.276762,36.966035
1494,1400 BLOCK OF LITTLE BAY AVENUE,Irene (8/27/2011),Flooded street,12128314.45,3518792.997,03:27.0,8/28/2011,03:27.0,-76.290689,36.966167
1586,JANAF PLACE & LOWERY ROAD,Irene (8/27/2011),Flooded street,12153770,3482593,55:08.0,8/28/2011,55:08.0,-76.206594,36.865101
1633,3436 WESTMINSTER AVENUE,Irene (8/27/2011),Flooded street,12143241.81,3474424.745,54:27.0,8/28/2011,54:27.0,-76.24324,36.843369
1676,4852 ELMHURST AVENUE,Irene (8/27/2011),Flooded street,12146178,3489119.5,41:19.0,8/28/2011,41:19.0,-76.232002,36.883525
1690,265 W TAZEWELL STREET,Irene (8/27/2011),Flooded street,12128128,3476411,52:09.0,8/28/2011,52:09.0,-76.294716,36.849804
1760,1040 W OCEAN VIEW AVENUE,Irene (8/27/2011),Flooded street,12131575,3519280.25,49:08.0,8/28/2011,49:08.0,-76.279493,36.967295
1799,9700 BLOCK OF 15TH VIEW STREET,Irene (8/27/2011),Flooded street,12127437.01,3519341.492,30:34.0,8/29/2011,30:34.0,-76.293648,36.96773
1800,1500 BLOCK OF CHELA AVENUE,Irene (8/27/2011),Flooded street,12127021.9,3519293.25,33:21.0,8/29/2011,33:21.0,-76.295072,36.967624
1801,1500 BLOCK OF LEA VIEW AVENUE,Irene (8/27/2011),Flooded street,12127028.47,3519554.653,37:08.0,8/29/2011,37:08.0,-76.295029,36.968341
1819,9600 BLOCK OF RALLSTON STREET,Irene (8/27/2011),Flooded street,12127854.5,3519002.75,05:58.0,8/29/2011,05:58.0,-76.292246,36.966773
1822,1017 LITTLE BAY AVENUE,Irene (8/27/2011),Flooded street,12131691,3518712.5,15:47.0,8/29/2011,15:47.0,-76.279141,36.965729
1823,7720 NEWPORT AVENUE,Irene (8/27/2011),Flooded street,12132287,3501660.5,16:25.0,8/29/2011,16:25.0,-76.278475,36.918868
1847,800 BLOCK OF LITTLE BAY AVENUE,Irene (8/27/2011),Flooded street,12132977.14,3518442.585,50:14.0,8/29/2011,50:14.0,-76.274762,36.964904
1916,HERBERT STREET & ELMHURST AVENUE,Irene (8/27/2011),Flooded street,12146676,3489199,51:57.0,8/29/2011,51:57.0,-76.230293,36.883711
3170,800 BLOCK OF 51ST STREET,Sandy (10/28/2012),Flooded street,12127292.97,3490767.443,05:37.0,10/27/2012,05:37.0,-76.296424,36.889279
3171,16TH BAY STREET & PLEASANT AVENUE,Sandy (10/28/2012),Flooded street,12155386,3506142.75,10:03.0,10/27/2012,10:03.0,-76.19911,36.929656
3176,GRACE STREET & MEMORIAL PLACE,Sandy (10/28/2012),Flooded street,12128377,3478506.5,21:52.0,10/28/2012,21:52.0,-76.293698,36.855542
3177,19TH BAY STREET & PLEASANT AVENUE,Sandy (10/28/2012),Flooded street,12156459.71,3505945.722,24:24.0,10/28/2012,24:24.0,-76.195454,36.929043
3178,W MAIN STREET & WATERSIDE DRIVE,Sandy (10/28/2012),Flooded street,12128443,3475323.5,27:25.0,10/28/2012,27:25.0,-76.293726,36.846798
3181,HAMPTON BOULEVARD & LARCHMONT CRESCENT,Sandy (10/28/2012),Flooded street,12125347.5,3493134.125,27:18.0,10/28/2012,27:18.0,-76.302886,36.895902
3183,HAMPTON BOULEVARD & LEXAN AVENUE,Sandy (10/28/2012),Flooded street,12125169,3494786.25,33:26.0,10/28/2012,33:26.0,-76.303365,36.90045
3186,HAMPTON BOULEVARD & MAGNOLIA AVENUE,Sandy (10/28/2012),Flooded street,12125298.5,3492868.75,02:30.0,10/28/2012,02:30.0,-76.303074,36.895176
3187,2200 BLOCK OF KIMBALL TERRACE,Sandy (10/28/2012),Flooded street,12137367.5,3474206.499,04:47.0,10/28/2012,04:47.0,-76.263326,36.843154
3189,600 BLOCK OF W BRAMBLETON AVENUE,Sandy (10/28/2012),Flooded street,12126103.13,3478949.209,11:00.0,10/28/2012,11:00.0,-76.301432,36.856904
3191,FAUQUIER STREET & WHITEHEAD AVENUE,Sandy (10/28/2012),Flooded street,12132715,3470221.75,20:59.0,10/28/2012,20:59.0,-76.279541,36.832514
3193,MIDTOWN TUNNEL & W BRAMBLETON AVENUE,Sandy (10/28/2012),Flooded street,12124574.5,3481050.25,21:15.0,10/28/2012,21:15.0,-76.306489,36.86277
3195,E BRAMBLETON AVENUE & TIDEWATER DRIVE,Sandy (10/28/2012),Flooded street,12133519.87,3476716,24:24.0,10/28/2012,24:24.0,-76.276269,36.850294
3197,1000 BLOCK OF MONTICELLO AVENUE,Sandy (10/28/2012),Flooded street,12130263.59,3479962.685,27:22.0,10/28/2012,27:22.0,-76.287135,36.85942
3198,9600 BLOCK OF 4TH VIEW STREET,Sandy (10/28/2012),Flooded street,12136613.93,3516198.677,27:41.0,10/28/2012,27:41.0,-76.2625,36.958507
3199,4TH VIEW STREET & W OCEAN VIEW AVENUE,Sandy (10/28/2012),Flooded street,12137042,3516670,28:43.0,10/28/2012,28:43.0,-76.260997,36.959773
3201,800 BLOCK OF E CITY HALL AVENUE,Sandy (10/28/2012),Flooded street,12131226.79,3475252.679,45:26.0,10/28/2012,45:26.0,-76.284221,36.846424
3202,500 BLOCK OF W OCEAN VIEW AVENUE,Sandy (10/28/2012),Flooded street,12135975.81,3517483.971,47:20.0,10/28/2012,47:20.0,-76.264579,36.962078
3203,BELLAMY AVENUE & FAUQUIER STREET,Sandy (10/28/2012),Flooded street,12133118,3471455,48:06.0,10/28/2012,48:06.0,-76.278065,36.835875
3204,COLONIAL AVENUE & REDGATE AVENUE,Sandy (10/28/2012),Flooded street,12127854,3480577.25,52:58.0,10/28/2012,52:58.0,-76.295319,36.861262
3206,GRANBY STREET & LLEWELLYN AVENUE,Sandy (10/28/2012),Flooded street,12131873,3490069.75,54:44.0,10/28/2012,54:44.0,-76.280823,36.887068
3207,9000 BLOCK OF HAMPTON BOULEVARD,Sandy (10/28/2012),Flooded street,12120415.62,3508692.344,01:49.0,10/28/2012,01:49.0,-76.318517,36.938937
3209,E MAIN STREET & PARK AVENUE,Sandy (10/28/2012),Flooded street,12132139,3473795,53:45.0,10/28/2012,53:45.0,-76.281222,36.842363
3210,CHAPEL STREET & E CHARLOTTE STREET,Sandy (10/28/2012),Flooded street,12132075,3476402.25,20:21.0,10/28/2012,20:21.0,-76.281231,36.849526
3211,E VIRGINIA BEACH BOULEVARD & MONTICELLO AVENUE,Sandy (10/28/2012),Flooded street,12130305,3479539.25,25:09.0,10/28/2012,25:09.0,-76.287027,36.858254
3212,6100 SEDGEFIELD DRIVE,Sandy (10/28/2012),Flooded street,12140008.87,3491485.858,26:00.0,10/28/2012,26:00.0,-76.252897,36.890428
3213,800 BLOCK OF NORVIEW AVENUE,Sandy (10/28/2012),Flooded street,12139425.04,3491498.987,26:33.0,10/28/2012,26:33.0,-76.254892,36.890502
3233,CAMPOSTELLA ROAD & KIMBALL TERRACE,Sandy (10/28/2012),Flooded street,12136499,3474327.75,54:04.0,10/28/2012,54:04.0,-76.266283,36.843544
3238,BOLLING AVENUE & JAMESTOWN CRESCENT,Sandy (10/28/2012),Flooded street,12127489,3492029.25,37:09.0,10/28/2012,37:09.0,-76.295653,36.892731
3240,MOWBRAY ARCH & W OLNEY ROAD,Sandy (10/28/2012),Flooded street,12127767.5,3479541.625,42:45.0,10/28/2012,42:45.0,-76.295698,36.858424
3241,700 BLOCK OF STOCKLEY GARDENS,Sandy (10/28/2012),Flooded street,12127210.47,3480394.383,47:57.0,10/28/2012,47:57.0,-76.297533,36.860801
3242,E BRAMBLETON AVENUE & ROSWELL AVENUE,Sandy (10/28/2012),Flooded street,12133142,3477128.25,51:40.0,10/28/2012,51:40.0,-76.277527,36.851451
3245,E BRAMBLETON AVENUE & I-264E HIGHWAY,Sandy (10/28/2012),Flooded street,12136192.5,3474658.875,34:45.0,10/28/2012,34:45.0,-76.267304,36.844473
3246,100 BLOCK OF E CHARLOTTE STREET,Sandy (10/28/2012),Flooded street,12129863.2,3477419.198,40:19.0,10/28/2012,40:19.0,-76.288706,36.852461
3248,1100 BLOCK OF HOLT STREET,Sandy (10/28/2012),Flooded street,12132469,3475251.375,46:22.0,10/28/2012,46:22.0,-76.279977,36.846341
3249,ARMISTEAD AVENUE & E PRINCESS ANNE ROAD,Sandy (10/28/2012),Flooded street,12130583,3480319.75,46:49.0,10/28/2012,46:49.0,-76.286015,36.860379
3250,300 BLOCK OF E CITY HALL AVENUE,Sandy (10/28/2012),Flooded street,12129562.78,3475655.834,47:45.0,10/28/2012,47:45.0,-76.289874,36.847639
3251,49TH STREET & HAMPTON BOULEVARD,Sandy (10/28/2012),Flooded street,12125487.5,3490162.125,49:49.0,10/28/2012,49:49.0,-76.302644,36.887732
3252,E CHARLOTTE STREET & RUFFNER STREET,Sandy (10/28/2012),Flooded street,12132991,3475855.25,54:42.0,10/28/2012,54:42.0,-76.278145,36.847965
3258,MAYFLOWER ROAD & W 41ST STREET,Sandy (10/28/2012),Flooded street,12128088,3488224.25,17:21.0,10/28/2012,17:21.0,-76.293909,36.882244
3259,MAYFLOWER ROAD & W 42ND STREET,Sandy (10/28/2012),Flooded street,12128110,3488529.25,17:50.0,10/28/2012,17:50.0,-76.293809,36.883081
3260,38TH STREET & CAROLINA AVENUE,Sandy (10/28/2012),Flooded street,12130470,3487647,58:22.0,10/28/2012,58:22.0,-76.285813,36.880506
3261,1400 BLOCK OF KEMPSVILLE ROAD,Sandy (10/28/2012),Flooded street,12153775.17,3485372.241,02:56.0,10/28/2012,02:56.0,-76.206345,36.872732
3264,KEMPSVILLE ROAD & LOWERY ROAD,Sandy (10/28/2012),Flooded street,12154539,3483141.5,11:02.0,10/28/2012,11:02.0,-76.20392,36.866556
3268,2200 BLOCK OF E OCEAN VIEW AVENUE,Sandy (10/28/2012),Flooded street,12151024.31,3508091.677,29:31.0,10/28/2012,29:31.0,-76.213866,36.935298
3270,900 BLOCK OF BAGNALL ROAD,Sandy (10/28/2012),Flooded street,12133471.3,3478200.465,14:44.0,10/29/2012,14:44.0,-76.276315,36.854374
3271,6700 BLOCK OF AZALEA GARDEN ROAD,Sandy (10/28/2012),Flooded street,12152671.5,3497460.419,31:29.0,10/29/2012,31:29.0,-76.209115,36.905997
3274,1900 BLOCK OF E OCEAN VIEW AVENUE,Sandy (10/28/2012),Flooded street,12149006.32,3508905.655,44:13.0,10/29/2012,44:13.0,-76.220701,36.937667
3277,1100 BLOCK OF MARSH STREET,Sandy (10/28/2012),Flooded street,12135231.44,3470165.859,36:27.0,10/29/2012,36:27.0,-76.27095,36.832198
3280,3RD BAY STREET & PRETTY LAKE AVENUE,Sandy (10/28/2012),Flooded street,12150953,3507309.75,01:01.0,10/29/2012,01:01.0,-76.214175,36.933156
3281,6200 BLOCK OF ALEXANDER STREET,Sandy (10/28/2012),Flooded street,12144818.11,3492498.534,28:12.0,10/29/2012,28:12.0,-76.236374,36.892893
3283,7500 BLOCK OF TIDEWATER DRIVE,Sandy (10/28/2012),Flooded street,12139171.61,3499663.618,49:03.0,10/29/2012,49:03.0,-76.255094,36.912938
3284,TIDEWATER DRIVE & WILLOW WOOD DRIVE,Sandy (10/28/2012),Flooded street,12137966,3490216.25,51:56.0,10/29/2012,51:56.0,-76.259983,36.887075
3289,1000 BLOCK OF 49TH STREET,Sandy (10/28/2012),Flooded street,12126186.98,3490199.017,47:20.0,10/29/2012,47:20.0,-76.30025,36.887789
3290,E 22ND STREET & MONTICELLO AVENUE,Sandy (10/28/2012),Flooded street,12131168,3483071.125,52:46.0,10/29/2012,52:46.0,-76.283795,36.867897
3293,400 BLOCK OF W OCEAN VIEW AVENUE,Sandy (10/28/2012),Flooded street,12136682.09,3516949.733,00:00.0,10/29/2012,00:00.0,-76.262206,36.960565
3294,SAINT PAULS BOULEVARD & UNION STREET,Sandy (10/28/2012),Flooded street,12130343,3474525.75,18:46.0,10/29/2012,18:46.0,-76.287299,36.844485
3295,1300 BLOCK OF UPPER BRANDON PLACE,Sandy (10/28/2012),Flooded street,12124581.84,3493587.643,23:44.0,10/29/2012,23:44.0,-76.305467,36.897196
3296,1300 BLOCK OF SURREY CRESCENT,Sandy (10/28/2012),Flooded street,12124739.42,3493798.699,24:28.0,10/29/2012,24:28.0,-76.304912,36.897766
3298,E LITTLE CREEK ROAD & TIDEWATER DRIVE,Sandy (10/28/2012),Flooded underpass,12139462,3500846.5,29:23.0,10/29/2012,29:23.0,-76.254005,36.916167
3300,300 BLOCK OF E LITTLE CREEK ROAD,Sandy (10/28/2012),Flooded street,12136613.53,3501468.001,34:45.0,10/29/2012,34:45.0,-76.263695,36.918059
3301,SAINT PAULS BOULEVARD & WATERSIDE DRIVE,Sandy (10/28/2012),Flooded street,12130230,3474433.125,39:59.0,10/29/2012,39:59.0,-76.287692,36.844238
3302,E PRINCESS ANNE ROAD & MONTICELLO AVENUE,Sandy (10/28/2012),Flooded street,12130363,3480389.25,41:46.0,10/29/2012,41:46.0,-76.286761,36.860584
3303,9500 BLOCK OF SHORE DRIVE,Sandy (10/28/2012),Flooded street,12157741,3505422.125,47:00.0,10/29/2012,47:00.0,-76.191115,36.927519
3305,E VIRGINIA BEACH BOULEVARD & TIDEWATER DRIVE,Sandy (10/28/2012),Flooded street,12134008,3478239.25,58:17.0,10/29/2012,58:17.0,-76.274478,36.854445
3306,2500 BLOCK OF E OCEAN VIEW AVENUE,Sandy (10/28/2012),Flooded street,12152027.49,3507791.106,58:46.0,10/29/2012,58:46.0,-76.21046,36.934406
3310,6TH BAY STREET & PRETTY LAKE AVENUE,Sandy (10/28/2012),Flooded street,12151911,3506815.5,11:53.0,10/29/2012,11:53.0,-76.210939,36.931735
3311,DUKE STREET & W BRAMBLETON AVENUE,Sandy (10/28/2012),Flooded street,12128896,3478030.25,18:11.0,10/29/2012,18:11.0,-76.291962,36.854201
3312,BOTETOURT STREET & W BRAMBLETON AVENUE,Sandy (10/28/2012),Flooded street,12127698,3477771.5,47:47.0,10/29/2012,47:47.0,-76.296076,36.853568
3313,COLLEGE PLACE & YARMOUTH STREET,Sandy (10/28/2012),Flooded street,12128352,3476873.75,07:14.0,10/29/2012,07:14.0,-76.293913,36.851061
3318,ALEXANDER STREET & STRAND STREET,Sandy (10/28/2012),Flooded street,12144693,3492905.5,37:49.0,10/29/2012,37:49.0,-76.236768,36.894019
3321,COLLEY AVENUE & W BRAMBLETON AVENUE,Sandy (10/28/2012),Flooded street,12125640,3479549.125,08:12.0,10/29/2012,08:12.0,-76.302967,36.858581
3322,E BRAMBLETON AVENUE & TIDEWATER DRIVE,Sandy (10/28/2012),Flooded underpass,12133519.87,3476716,10:37.0,10/29/2012,10:37.0,-76.276269,36.850294
3323,E CITY HALL AVENUE & TIDEWATER DRIVE,Sandy (10/28/2012),Flooded street,12132507,3474796,10:54.0,10/29/2012,10:54.0,-76.279884,36.845088
3324,HAMPTON BOULEVARD & NORTH SHORE ROAD,Sandy (10/28/2012),Flooded street,12124332,3498783,11:57.0,10/29/2012,11:57.0,-76.305909,36.911478
3325,7200 BLOCK OF NEWPORT AVENUE,Sandy (10/28/2012),Flooded street,12132014.76,3497959.164,15:30.0,10/29/2012,15:30.0,-76.279704,36.908722
3326,300 BLOCK OF YARMOUTH STREET,Sandy (10/28/2012),Flooded street,12128479,3477047.75,21:32.0,10/29/2012,21:32.0,-76.293466,36.85153
3327,5600 BLOCK OF TIDEWATER DRIVE,Sandy (10/28/2012),Flooded street,12138323.97,3491544.915,29:05.0,10/29/2012,29:05.0,-76.258652,36.8907
3329,1145 BOLLING AVENUE,Sandy (10/28/2012),Flooded street,12125565,3491202.25,55:24.0,10/29/2012,55:24.0,-76.302296,36.890583
3330,DELAWARE AVENUE & GRANBY STREET,Sandy (10/28/2012),Flooded street,12131654,3488612.75,58:10.0,10/29/2012,58:10.0,-76.281689,36.883082
3331,HARBOUR STREET & W TAZEWELL STREET,Sandy (10/28/2012),Flooded street,12128336,3476557.25,59:17.0,10/29/2012,59:17.0,-76.293993,36.850193
3332,200 BLOCK OF BROOKE AVENUE,Sandy (10/28/2012),Flooded street,12128480.2,3476183.698,59:36.0,10/29/2012,59:36.0,-76.293531,36.849158
3333,9600 BLOCK OF 3RD BAY STREET,Sandy (10/28/2012),Flooded street,12151069.82,3507674.632,00:47.0,10/29/2012,00:47.0,-76.213745,36.93415
3334,14TH VIEW STREET & W OCEAN VIEW AVENUE,Sandy (10/28/2012),Flooded street,12128254.5,3519131.875,02:12.0,10/29/2012,02:12.0,-76.290867,36.967102
3335,700 BLOCK OF LIGON STREET,Sandy (10/28/2012),Flooded street,12129967.1,3470342.171,03:12.0,10/29/2012,03:12.0,-76.288918,36.833022
3340,COLLEY AVENUE & REDGATE AVENUE,Sandy (10/28/2012),Flooded street,12126391,3481373.25,47:48.0,10/29/2012,47:48.0,-76.300255,36.863541
3342,E BERKLEY AVENUE & FAUQUIER STREET,Sandy (10/28/2012),Flooded street,12132602,3469944.125,53:25.0,10/29/2012,53:25.0,-76.279949,36.831759
3343,NORVIEW AVENUE & TIDEWATER DRIVE,Sandy (10/28/2012),Flooded street,12138501,3492019.75,58:35.0,10/29/2012,58:35.0,-76.258008,36.891993
3345,500 BLOCK OF E INDIAN RIVER ROAD,Sandy (10/28/2012),Flooded street,12134802.79,3470556.801,01:54.0,10/29/2012,01:54.0,-76.272382,36.833299
3346,1600 BLOCK OF CHURCH STREET,Sandy (10/28/2012),Flooded street,12132715.16,3481387.517,04:41.0,10/29/2012,04:41.0,-76.278643,36.863174
3347,GILES CIRCLE & NORVIEW AVENUE,Sandy (10/28/2012),Flooded street,12141306,3491344,05:20.0,10/29/2012,05:20.0,-76.248474,36.889954
3348,300 BLOCK OF W BRAMBLETON AVENUE,Sandy (10/28/2012),Flooded street,12128061.31,3477862.996,06:41.0,10/29/2012,06:41.0,-76.294828,36.853796
3349,8TH BAY STREET & E OCEAN VIEW AVENUE,Sandy (10/28/2012),Flooded street,12152851,3507550.25,07:20.0,10/29/2012,07:20.0,-76.207663,36.93369
3350,1300 BLOCK OF E BRAMBLETON AVENUE,Sandy (10/28/2012),Flooded underpass,12134435.77,3475963.476,07:52.0,10/29/2012,07:52.0,-76.2732,36.848169
3351,E VIRGINIA BEACH BOULEVARD & GRANBY STREET,Sandy (10/28/2012),Flooded street,12129949,3479428.5,23:47.0,10/29/2012,23:47.0,-76.288252,36.857973
3354,5200 BLOCK OF NORVELLA AVENUE,Sandy (10/28/2012),Flooded street,12147515.08,3491858.919,46:43.0,10/29/2012,46:43.0,-76.227206,36.890959
3358,LLEWELLYN AVENUE & SHIRLEY AVENUE,Sandy (10/28/2012),Flooded street,12129725,3481565.875,44:15.0,10/29/2012,44:15.0,-76.288847,36.863856
3359,2800 BLOCK OF E PRINCESS ANNE ROAD,Sandy (10/28/2012),Flooded street,12140058.48,3479454.305,45:25.0,10/29/2012,45:25.0,-76.253706,36.857388
3364,300 BLOCK OF ROGERS AVENUE,Sandy (10/28/2012),Flooded street,12122516,3505576.875,23:20.0,10/29/2012,23:20.0,-76.31158,36.930249
3369,HAMPTON BOULEVARD & JAMESTOWN CRESCENT,Sandy (10/28/2012),Flooded street,12125333,3493946,37:56.0,10/29/2012,37:56.0,-76.302871,36.898132
3371,E BAYVIEW BOULEVARD & WILLOW TERRACE,Sandy (10/28/2012),Flooded street,12144994,3507792.5,39:35.0,10/29/2012,39:35.0,-76.234517,36.934876
3373,1156 LAND STREET,Sandy (10/28/2012),Flooded street,12159215,3480266,40:13.0,10/29/2012,40:13.0,-76.188182,36.858347
3375,COMSTOCK STREET & WESTMINSTER AVENUE,Sandy (10/28/2012),Flooded street,12144965,3473874.75,40:46.0,10/29/2012,40:46.0,-76.237398,36.841746
3379,E VIRGINIA BEACH BOULEVARD & HANSON AVENUE,Sandy (10/28/2012),Flooded street,12135243.71,3477788.257,35:15.0,10/29/2012,35:15.0,-76.270293,36.853127
3380,COLLEY AVENUE & RALEIGH AVENUE,Sandy (10/28/2012),Flooded street,12126549,3480869.75,57:19.0,10/29/2012,57:19.0,-76.299756,36.862149
3806,GRANBY STREET & LLEWELLYN AVENUE,Heavy Rain (10/9/2013),Flooded street,12131873,3490069.75,20:04.0,10/8/2013,20:04.0,-76.280823,36.887068
3807,800 BLOCK OF 51ST STREET,Heavy Rain (10/9/2013),Flooded street,12127292.97,3490767.443,20:45.0,10/8/2013,20:45.0,-76.296424,36.889279
3808,BOTETOURT STREET & MOWBRAY ARCH,Heavy Rain (10/9/2013),Flooded street,12127692,3478463.25,28:34.0,10/8/2013,28:34.0,-76.296042,36.855468
3809,MAYFLOWER ROAD & VIRGINIA AVENUE,Heavy Rain (10/9/2013),Flooded street,12129303,3488245.75,30:50.0,10/9/2013,30:50.0,-76.289754,36.882225
3810,600 BLOCK OF TIDEWATER DRIVE,Heavy Rain (10/9/2013),Flooded street,12133415.14,3476251.744,42:17.0,10/9/2013,42:17.0,-76.276689,36.848962
3811,20TH BAY STREET & PLEASANT AVENUE,Heavy Rain (10/9/2013),Flooded street,12156802,3505886.75,07:13.0,10/9/2013,07:13.0,-76.194288,36.928858
3812,9600 BLOCK OF 1ST BAY STREET,Heavy Rain (10/9/2013),Flooded street,12150435.66,3507952.512,12:11.0,10/9/2013,12:11.0,-76.215891,36.934955
3813,9600 BLOCK OF 2ND BAY STREET,Heavy Rain (10/9/2013),Flooded street,12150773.9,3507876.934,12:36.0,10/9/2013,12:36.0,-76.214741,36.934725
3814,9600 BLOCK OF 3RD BAY STREET,Heavy Rain (10/9/2013),Flooded street,12151069.82,3507674.632,13:06.0,10/9/2013,13:06.0,-76.213745,36.93415
3815,9600 BLOCK OF 4TH BAY STREET,Heavy Rain (10/9/2013),Flooded street,12151398.66,3507490.278,14:12.0,10/9/2013,14:12.0,-76.212636,36.933622
3816,9600 BLOCK OF 5TH BAY STREET,Heavy Rain (10/9/2013),Flooded street,12151652,3507135.875,14:46.0,10/9/2013,14:46.0,-76.211798,36.932632
